Gene	Sample1	Sample2	Sample3	Sample4	Sample5	Sample6
CCN2	1704.0	7245.0	4905.0	5697.0	7005.0	6141.0
CCNA2	343.0	2628.0	446.0	1334.0	0.0	1738.0
CCNB1	2243.0	5740.0	4330.0	3529.0	3714.0	3545.0
CCNB1IP1	2117.0	5492.0	2055.0	2106.0	2311.0	2171.0
CCNB2	678.0	1591.0	1195.0	1617.0	1571.0	1780.0
CCNB2P1	1.0	0.0	0.0	0.0	1.0	2.0
CCNC	705.0	2133.0	2325.0	1029.0	23.0	718.0
CCND1	16203.0	42089.0	33162.0	32422.0	27950.0	32399.0
CCND3	935.0	2631.0	1752.0	1734.0	1852.0	1706.0
CCNDBP1	759.0	2567.0	1383.0	1243.0	929.0	810.0
CCNE1	4.0	110.0	135.0	2.0	7.0	1.0
CCNE2	1.0	253.0	1.0	13.0	417.0	21.0
CCNF	2.0	1.0	1.0	2.0	4.0	1.0
CCNG1	5307.0	13199.0	10452.0	6271.0	5579.0	5937.0
CCNG2	1699.0	4902.0	4063.0	2112.0	2301.0	2400.0
CCNH	3930.0	10362.0	8444.0	4704.0	5943.0	5017.0
CCNI	11167.0	29812.0	21822.0	14952.0	14365.0	14049.0
CCNJ	554.0	1328.0	958.0	2206.0	1992.0	1890.0
CCNJL	603.0	1285.0	1063.0	1029.0	723.0	746.0
CCNJP1	1.0	0.0	0.0	1.0	3.0	1.0
CCNK	565.0	2228.0	1043.0	1318.0	1609.0	895.0
CCNL1	1427.0	4197.0	6238.0	3101.0	3358.0	3014.0
CCNL2	111.0	2464.0	3085.0	128.0	141.0	639.0
CCNL2P1	3.0	5.0	6.0	2.0	0.0	4.0
CCNO	250.0	749.0	527.0	1007.0	380.0	752.0
CCNQ	499.0	1694.0	995.0	1113.0	1446.0	1535.0
CCNQP3	2.0	2.0	0.0	0.0	5.0	2.0
CCNT1	4316.0	11666.0	8931.0	6802.0	6585.0	6045.0
CCNT2	1629.0	4285.0	3636.0	2127.0	3353.0	2757.0
CCNY	5177.0	13796.0	9903.0	6165.0	6484.0	6600.0
CCNYL1	3159.0	6439.0	5849.0	4324.0	4860.0	4688.0
CCP110	831.0	2030.0	1702.0	764.0	686.0	829.0
CCPG1	3695.0	13834.0	8362.0	3132.0	3754.0	3234.0
CCR10	19.0	0.0	0.0	0.0	0.0	0.0
CCR3	404.0	659.0	729.0	368.0	386.0	380.0
CCR5AS	313.0	1124.0	866.0	204.0	347.0	203.0
CCRL2	322.0	1123.0	773.0	507.0	449.0	441.0
CCS	367.0	1028.0	807.0	653.0	606.0	554.0
CCSAP	240.0	727.0	578.0	598.0	623.0	724.0
CCSER1	5.0	784.0	556.0	142.0	211.0	2.0
CCSER2	880.0	2741.0	2278.0	1945.0	1464.0	1546.0
CCT2	14510.0	36153.0	25582.0	26490.0	23614.0	24840.0
CCT3	21013.0	48824.0	35554.0	45958.0	38679.0	40264.0
CCT4	12819.0	32904.0	22525.0	24438.0	21987.0	22043.0
CCT5	22911.0	45652.0	40043.0	47791.0	43176.0	43134.0
CCT5P1	14.0	34.0	27.0	17.0	28.0	24.0
CCT5P2	2.0	10.0	11.0	13.0	4.0	5.0
CCT6A	11937.0	29146.0	21168.0	23006.0	20843.0	21565.0
CCT6P1	5.0	16.0	12.0	11.0	10.0	7.0
CCT6P2	8.0	28.0	21.0	20.0	11.0	21.0
CCT6P3	180.0	526.0	500.0	5.0	221.0	242.0
CCT7	12834.0	33030.0	22613.0	17667.0	16475.0	17182.0
CCT7P1	2.0	0.0	3.0	0.0	0.0	0.0
CCT8	10112.0	24210.0	17521.0	12220.0	14501.0	11884.0
CCT8P1	32.0	180.0	57.0	116.0	66.0	80.0
CCZ1	1776.0	5335.0	3771.0	3583.0	3364.0	3249.0
CCZ1B	1765.0	5176.0	3777.0	3402.0	3331.0	3257.0
CD109	5416.0	14208.0	11552.0	7114.0	7791.0	7396.0
CD151	10405.0	30307.0	22815.0	25286.0	24574.0	24457.0
CD164	18356.0	50883.0	38371.0	6062.0	8288.0	6236.0
CD22	4.0	14.0	13.0	1.0	0.0	0.0
CD24	6301.0	18562.0	14283.0	4920.0	5709.0	5424.0
CD24P4	79.0	208.0	178.0	83.0	79.0	82.0
CD27-AS1	1.0	1.0	1.0	1.0	2.0	1.0
CD276	1871.0	5108.0	3872.0	4352.0	3566.0	3770.0
CD2AP	2391.0	6299.0	5287.0	4089.0	4810.0	4514.0
CD2BP2	2130.0	6656.0	4812.0	4134.0	3952.0	3873.0
CD302	335.0	667.0	547.0	249.0	356.0	248.0
CD320	4126.0	10694.0	8038.0	9802.0	8460.0	7648.0
CD33	281.0	605.0	508.0	650.0	696.0	517.0
CD3EAP	687.0	2006.0	0.0	0.0	0.0	0.0
CD44	12328.0	36239.0	26254.0	21181.0	19275.0	21297.0
CD46	6920.0	18767.0	14721.0	13150.0	12736.0	12060.0
CD47	2878.0	7441.0	5581.0	5134.0	5690.0	5606.0
CD53	2.0	14.0	0.0	0.0	0.0	0.0
CD55	27938.0	24834.0	56646.0	11564.0	46907.0	35834.0
CD58	429.0	1308.0	981.0	816.0	833.0	762.0
CD59	15804.0	28150.0	38907.0	28793.0	26624.0	42552.0
CD63	22420.0	73425.0	52305.0	38956.0	38351.0	37855.0
CD68	111.0	931.0	417.0	247.0	923.0	362.0
CD70	1033.0	2321.0	2583.0	1056.0	1748.0	1294.0
CD81	5380.0	14970.0	10819.0	10690.0	9307.0	10291.0
CD83	176.0	388.0	209.0	279.0	225.0	293.0
CD9	2291.0	7846.0	6113.0	6261.0	6751.0	7026.0
CD99L2	1670.0	4809.0	3336.0	2117.0	1895.0	1740.0
CD99P1_chrX_2609348_2657229	10.0	42.0	44.0	8.0	20.0	9.0
CD99P1_chrY_2609348_2657229	10.0	42.0	44.0	8.0	20.0	9.0
CD99_chrX_2691187_2741309	937.0	2805.0	2068.0	1340.0	1232.0	1280.0
CD99_chrY_2691187_2741309	937.0	2804.0	2068.0	1340.0	1232.0	1280.0
CDA	2721.0	10081.0	6607.0	4982.0	5128.0	4635.0
CDADC1	178.0	527.0	312.0	9.0	232.0	255.0
CDAN1	671.0	1821.0	1099.0	980.0	875.0	770.0
CDC123	1640.0	5602.0	1881.0	2332.0	2270.0	2461.0
CDC14A	2.0	4.0	3.0	146.0	3.0	3.0
CDC14B	1357.0	1098.0	1838.0	1343.0	1304.0	1364.0
CDC14C	4.0	16.0	19.0	3.0	1.0	5.0
CDC16	1373.0	4360.0	3209.0	2770.0	1781.0	2431.0
CDC20	2510.0	6611.0	4845.0	3620.0	3895.0	3878.0
CDC20P1	49.0	134.0	85.0	64.0	78.0	69.0
CDC23	1593.0	3892.0	2979.0	2448.0	2281.0	2424.0
CDC25A	888.0	1735.0	1726.0	1559.0	1385.0	1336.0
CDC25B	5008.0	13046.0	9675.0	10980.0	9367.0	9413.0
CDC25C	133.0	287.0	150.0	336.0	322.0	333.0
CDC26	576.0	1672.0	1162.0	928.0	815.0	1024.0
CDC27	984.0	2483.0	3277.0	46.0	21.0	13.0
CDC27P1	13.0	38.0	39.0	10.0	20.0	11.0
CDC27P3	5.0	6.0	3.0	0.0	4.0	2.0
CDC34	1385.0	4154.0	2224.0	5061.0	4135.0	4321.0
CDC37	13089.0	29538.0	21733.0	21759.0	15328.0	18617.0
CDC37L1	1192.0	3080.0	2436.0	1480.0	1471.0	1655.0
CDC37L1-DT	2.0	18.0	0.0	5.0	0.0	9.0
CDC40	1401.0	3537.0	2740.0	1566.0	1618.0	1505.0
CDC42	7336.0	22926.0	16261.0	17119.0	17612.0	16663.0
CDC42BPA	4565.0	13829.0	9490.0	8840.0	8199.0	7338.0
CDC42BPB	8555.0	23272.0	218.0	120.0	119.0	72.0
CDC42EP1	2405.0	6017.0	4126.0	3660.0	2752.0	2818.0
CDC42EP3	2211.0	6048.0	4716.0	4152.0	3802.0	3540.0
CDC42EP4	2042.0	5617.0	4246.0	4289.0	3735.0	3968.0
CDC42EP5_GL949746.1_371539_379704	1.0	0.0	0.0	0.0	1.0	0.0
CDC42EP5_GL949752.1_369718_377945	1.0	0.0	0.0	0.0	1.0	0.0
CDC42EP5_KI270938.1_447324_455525	1.0	0.0	0.0	0.0	0.0	0.0
CDC42EP5_chr19_54465026_54473296	1.0	0.0	0.0	0.0	0.0	0.0
CDC42P1	1.0	4.0	1.0	2.0	2.0	1.0
CDC42P6	147.0	507.0	381.0	353.0	361.0	365.0
CDC42SE1	2020.0	5392.0	4120.0	4399.0	4001.0	4338.0
CDC42SE2	1170.0	2826.0	1800.0	1904.0	1743.0	1855.0
CDC45	517.0	1374.0	1156.0	316.0	611.0	593.0
CDC5L	2930.0	7692.0	5117.0	4517.0	4478.0	4579.0
CDC6	965.0	2948.0	2346.0	981.0	1283.0	1325.0
CDC7	506.0	679.0	904.0	421.0	936.0	929.0
CDC73	1110.0	2919.0	2394.0	1575.0	1708.0	1793.0
CDCA2	550.0	970.0	894.0	662.0	932.0	1090.0
CDCA3	297.0	716.0	812.0	389.0	470.0	455.0
CDCA4	3168.0	7044.0	5705.0	6909.0	6331.0	6761.0
CDCA4P4	2.0	7.0	10.0	0.0	0.0	3.0
CDCA5	1276.0	3484.0	2595.0	3133.0	3146.0	3401.0
CDCA7	987.0	2120.0	1887.0	1096.0	1134.0	1139.0
CDCA7L	1190.0	3382.0	2511.0	1806.0	2032.0	1905.0
CDCA8	1092.0	2634.0	2116.0	1782.0	1847.0	1882.0
CDCP1	9432.0	27153.0	20403.0	14208.0	12062.0	12854.0
CDH1	488.0	1659.0	985.0	1372.0	1131.0	1103.0
CDH11	9014.0	23650.0	16356.0	14727.0	16432.0	14878.0
CDH12	484.0	0.0	893.0	0.0	0.0	644.0
CDH12P1	2.0	3.0	6.0	1.0	2.0	1.0
CDH12P2_KI270897.1_210204_210505	2.0	3.0	6.0	1.0	3.0	1.0
CDH12P2_chr5_69985204_69985501	2.0	3.0	6.0	1.0	2.0	1.0
CDH12P3	2.0	3.0	6.0	1.0	2.0	1.0
CDH12P4_GL339449.2_1063244_1063538	2.0	3.0	6.0	1.0	2.0	1.0
CDH12P4_chr5_71132993_71133287	2.0	2.0	3.0	1.0	2.0	2.0
CDH13	4.0	32.0	905.0	5.0	16.0	5.0
CDH2	3343.0	9056.0	6620.0	7185.0	6922.0	6846.0
CDH24	164.0	397.0	307.0	485.0	483.0	469.0
CDH3	2182.0	2530.0	3772.0	2505.0	2487.0	2643.0
CDH7	8.0	0.0	8.0	0.0	0.0	0.0
CDH8	24.0	3.0	201.0	27.0	40.0	63.0
CDHR3	104.0	31.0	33.0	51.0	30.0	73.0
CDIP1_KI270855.1_212998_226625	358.0	1048.0	699.0	661.0	608.0	613.0
CDIP1_chr16_4510669_4538828	397.0	1130.0	777.0	734.0	698.0	665.0
CDIPT	2128.0	6684.0	4610.0	6330.0	5323.0	5362.0
CDK1	2506.0	7139.0	5459.0	4880.0	5898.0	4113.0
CDK10	1048.0	1467.0	2171.0	1439.0	1253.0	1313.0
CDK11A	708.0	2108.0	1684.0	1449.0	1165.0	1227.0
CDK11B	1705.0	5003.0	3727.0	2920.0	2845.0	2700.0
CDK12	3029.0	7856.0	6519.0	3285.0	2933.0	2783.0
CDK13	1838.0	4874.0	2580.0	2455.0	3218.0	2981.0
CDK14	1101.0	2758.0	2146.0	2230.0	2141.0	2096.0
CDK16	4189.0	10349.0	7159.0	5188.0	6367.0	5884.0
CDK17	712.0	2461.0	2043.0	1170.0	1359.0	1200.0
CDK18	499.0	1085.0	952.0	834.0	759.0	733.0
CDK19	1100.0	3668.0	3230.0	1533.0	1703.0	1771.0
CDK2	2115.0	5991.0	4265.0	2262.0	2784.0	2875.0
CDK2AP1	1477.0	4356.0	3008.0	3884.0	3653.0	3711.0
CDK2AP2	1146.0	3517.0	2664.0	1967.0	1879.0	1944.0
CDK3	2.0	51.0	6.0	3.0	2.0	2.0
CDK4	1980.0	2553.0	11936.0	4628.0	2608.0	4535.0
CDK5	694.0	1936.0	1384.0	1399.0	1233.0	1272.0
CDK5R2	2.0	2.0	0.0	7.0	2.0	4.0
CDK5RAP1	1204.0	3063.0	2171.0	2326.0	2219.0	2045.0
CDK5RAP2	2308.0	6774.0	5497.0	4349.0	4089.0	4374.0
CDK5RAP3	3256.0	9748.0	8169.0	5217.0	5124.0	4471.0
CDK6	5327.0	4662.0	6474.0	983.0	1859.0	8174.0
CDK7P1	2.0	7.0	10.0	3.0	6.0	3.0
CDK7_GL339449.2_17975_60595	607.0	1785.0	1225.0	768.0	740.0	642.0
CDK7_chr5_69234795_69277430	607.0	1797.0	1186.0	777.0	735.0	716.0
CDK8	923.0	2007.0	1644.0	1802.0	1550.0	1603.0
CDK9	2154.0	5874.0	4522.0	3571.0	3428.0	3322.0
CDKAL1	504.0	1441.0	1330.0	946.0	937.0	977.0
CDKL1	164.0	328.0	411.0	247.0	505.0	442.0
CDKL5	1.0	1625.0	1648.0	1.0	1.0	1.0
CDKN1A	1151.0	5494.0	4048.0	2729.0	2614.0	2587.0
CDKN1B	2470.0	5514.0	4714.0	2355.0	2247.0	2359.0
CDKN1C_KI270831.1_115392_118091	11.0	72.0	96.0	0.0	12.0	32.0
CDKN1C_chr11_2883213_2885773	11.0	72.0	97.0	0.0	13.0	31.0
CDKN2A	1148.0	6137.0	6496.0	4243.0	1352.0	2767.0
CDKN2A-DT	13.0	25.0	25.0	12.0	2.0	13.0
CDKN2AIP	1110.0	3229.0	2510.0	2179.0	2208.0	2317.0
CDKN2AIPNL	505.0	1227.0	1006.0	790.0	743.0	795.0
CDKN2AIPNLP1	2.0	0.0	0.0	0.0	0.0	2.0
CDKN2B	16.0	37.0	36.0	42.0	33.0	34.0
CDKN2B-AS1	104.0	46.0	49.0	87.0	33.0	49.0
CDKN2C	904.0	2351.0	1788.0	863.0	1023.0	1194.0
CDKN2D	114.0	515.0	373.0	499.0	380.0	113.0
CDKN3	839.0	2404.0	1746.0	1507.0	1769.0	1766.0
CDPF1	139.0	244.0	55.0	225.0	121.0	192.0
CDR2	1025.0	2858.0	2052.0	1661.0	1610.0	1442.0
CDR2L	784.0	2110.0	1539.0	565.0	680.0	695.0
CDRT1	2.0	7.0	6.0	16.0	3.0	8.0
CDRT4	1.0	11.0	22.0	0.0	0.0	0.0
CDS1	150.0	1169.0	763.0	909.0	912.0	821.0
CDS2	1248.0	3424.0	2506.0	2240.0	2025.0	2089.0
CDT1	560.0	1476.0	1111.0	1255.0	1288.0	1309.0
CDV3	9691.0	27673.0	19045.0	13213.0	12674.0	12683.0
CDV3P1	1.0	0.0	0.0	1.0	0.0	0.0
CDYL	2623.0	6453.0	5691.0	3627.0	3692.0	3509.0
CDYL2	2057.0	5332.0	4110.0	3502.0	3260.0	3211.0
CEACAM1	16.0	25.0	42.0	74.0	223.0	14.0
CEACAM19	1.0	48.0	48.0	1.0	26.0	5.0
CEACAM3	6.0	0.0	0.0	0.0	0.0	0.0
CEACAM5	13.0	41.0	536.0	24.0	30.0	14.0
CEACAM6	158.0	484.0	201.0	450.0	374.0	181.0
CEBPA	345.0	752.0	610.0	562.0	583.0	582.0
CEBPA-DT	29.0	74.0	72.0	35.0	19.0	38.0
CEBPB	2154.0	8791.0	5870.0	4517.0	4183.0	4281.0
CEBPD	247.0	962.0	695.0	510.0	483.0	433.0
CEBPG	4401.0	13833.0	9698.0	4711.0	4933.0	4477.0
CEBPZOS	2242.0	3845.0	4559.0	1538.0	4442.0	3856.0
CELF1	4293.0	10224.0	9325.0	4637.0	6111.0	5620.0
CELSR1	1882.0	4799.0	3814.0	2333.0	2102.0	1654.0
CELSR3	220.0	68.0	147.0	61.0	165.0	207.0
CEMIP2	2009.0	5230.0	4239.0	1978.0	1925.0	1731.0
CENPA	549.0	1656.0	1188.0	1097.0	1091.0	1096.0
CENPB	4102.0	10286.0	7474.0	4531.0	3966.0	3913.0
CENPBD1	240.0	908.0	616.0	305.0	357.0	359.0
CENPBD1P1	559.0	1387.0	1117.0	622.0	490.0	600.0
CENPC	310.0	934.0	773.0	507.0	574.0	625.0
CENPE	571.0	2808.0	2660.0	2065.0	2772.0	2911.0
CENPF	4589.0	10019.0	9275.0	7897.0	8721.0	7669.0
CENPH	313.0	708.0	545.0	762.0	956.0	1017.0
CENPJ	393.0	560.0	883.0	287.0	12.0	20.0
CENPK	258.0	670.0	551.0	460.0	496.0	568.0
CENPL	1096.0	2750.0	1439.0	446.0	878.0	1414.0
CENPM	221.0	627.0	429.0	431.0	413.0	442.0
CENPN	750.0	2628.0	1951.0	2069.0	2660.0	0.0
CENPO	568.0	149.0	157.0	172.0	89.0	99.0
CENPP	137.0	2334.0	1786.0	1536.0	1548.0	1999.0
CENPQ	395.0	1149.0	971.0	493.0	655.0	637.0
CENPS	168.0	586.0	364.0	287.0	329.0	272.0
CENPS-CORT	94.0	180.0	198.0	6.0	161.0	104.0
CENPT	647.0	1259.0	447.0	1382.0	902.0	1975.0
CENPU	1017.0	2680.0	2066.0	1824.0	2166.0	1972.0
CENPVL1	27.0	70.0	49.0	39.0	37.0	37.0
CENPVL2	27.0	70.0	50.0	39.0	37.0	37.0
CENPVL3	176.0	523.0	449.0	294.0	273.0	276.0
CENPW	259.0	563.0	437.0	606.0	489.0	642.0
CENPX	1589.0	4053.0	2768.0	3972.0	3233.0	3260.0
CEP104	2182.0	6053.0	3971.0	3608.0	3007.0	2868.0
CEP112	2.0	2.0	3.0	181.0	31.0	149.0
CEP120	1269.0	3023.0	2316.0	663.0	582.0	658.0
CEP126	197.0	465.0	231.0	0.0	0.0	0.0
CEP128	223.0	936.0	877.0	397.0	472.0	383.0
CEP131	579.0	1643.0	1283.0	1260.0	1111.0	978.0
CEP135	433.0	1204.0	1183.0	1143.0	1147.0	1138.0
CEP152	2.0	0.0	0.0	0.0	1.0	0.0
CEP162	15.0	318.0	274.0	443.0	15.0	12.0
CEP164	999.0	2480.0	2246.0	1133.0	1258.0	1053.0
CEP170B	2944.0	8196.0	6626.0	5830.0	4801.0	5076.0
CEP170P1	87.0	1.0	0.0	0.0	135.0	0.0
CEP170_KI270763.1_136536_267429	2591.0	5770.0	4858.0	3702.0	3840.0	3754.0
CEP170_chr1_243124428_243255348	2759.0	5137.0	4225.0	3585.0	2076.0	2306.0
CEP192	984.0	2983.0	2680.0	520.0	2643.0	2347.0
CEP250	129.0	582.0	212.0	769.0	278.0	823.0
CEP290	130.0	2239.0	99.0	413.0	16.0	17.0
CEP295	14.0	1021.0	1056.0	55.0	431.0	17.0
CEP350	23.0	2722.0	11.0	21.0	2199.0	2200.0
CEP41	613.0	1354.0	1163.0	648.0	716.0	687.0
CEP44	697.0	1157.0	1212.0	875.0	1106.0	930.0
CEP55	848.0	2303.0	2009.0	1731.0	1871.0	2071.0
CEP57	2094.0	5633.0	4524.0	2245.0	2266.0	2235.0
CEP57L1	14.0	110.0	13.0	16.0	11.0	7.0
CEP57L1P1	3.0	11.0	14.0	7.0	8.0	11.0
CEP63	480.0	1524.0	870.0	411.0	493.0	766.0
CEP68	958.0	2236.0	1489.0	731.0	769.0	571.0
CEP70	1103.0	3428.0	2348.0	1139.0	1064.0	1046.0
CEP72_KI270793.1_2318_14551	27.0	66.0	43.0	60.0	53.0	58.0
CEP72_chr5_612340_667168	237.0	554.0	268.0	615.0	488.0	516.0
CEP76	125.0	812.0	594.0	193.0	172.0	762.0
CEP78	865.0	1263.0	1821.0	1305.0	1422.0	1382.0
CEP83	478.0	1189.0	946.0	565.0	560.0	605.0
CEP83-DT	6.0	10.0	14.0	9.0	12.0	9.0
CEP85	13.0	48.0	28.0	31.0	32.0	33.0
CEP85L	457.0	1113.0	1042.0	909.0	868.0	930.0
CEP89	118.0	1266.0	902.0	843.0	783.0	726.0
CEP95	283.0	4311.0	1815.0	2127.0	1686.0	739.0
CEP97	824.0	2626.0	2049.0	1347.0	1205.0	1630.0
CEPT1	1143.0	3076.0	2304.0	1473.0	1398.0	1261.0
CERCAM	686.0	1572.0	1520.0	3028.0	1966.0	2558.0
CERK	1538.0	4056.0	2769.0	2044.0	1912.0	1882.0
CERNA1	105.0	1897.0	1930.0	992.0	1011.0	784.0
CEROX1	17.0	20.0	0.0	33.0	33.0	36.0
CERS2	17278.0	35837.0	31343.0	11071.0	15874.0	9132.0
CERS5	1064.0	2632.0	1736.0	2409.0	1679.0	1946.0
CERS6	3595.0	9049.0	7273.0	4644.0	4622.0	4684.0
CERT1	1303.0	4008.0	2546.0	3231.0	2973.0	3118.0
CES2	1088.0	2227.0	2036.0	911.0	1031.0	1004.0
CES4A	17.0	4.0	11.0	0.0	0.0	0.0
CETN2	1228.0	1164.0	2510.0	1082.0	2425.0	2524.0
CETN3	829.0	2110.0	1758.0	993.0	1038.0	1106.0
CFAP20	850.0	2167.0	1700.0	1531.0	1471.0	1453.0
CFAP298	4.0	3.0	2.0	103.0	95.0	85.0
CFAP298-TCP10L	1269.0	3351.0	2491.0	2587.0	2102.0	2395.0
CFAP36	1168.0	3264.0	2450.0	1995.0	1834.0	1875.0
CFAP44	258.0	558.0	618.0	471.0	524.0	15.0
CFAP45	24.0	124.0	109.0	103.0	103.0	6.0
CFAP69	1.0	3.0	2.0	27.0	2.0	13.0
CFAP70	171.0	677.0	308.0	150.0	0.0	257.0
CFAP97	2633.0	6422.0	5025.0	2072.0	2688.0	1150.0
CFB_GL000251.2_3423077_3429511	9.0	50.0	47.0	8.0	9.0	7.0
CFB_GL000252.2_3193430_3199864	9.0	52.0	47.0	9.0	9.0	7.0
CFB_GL000253.2_3250627_3255741	7.0	33.0	31.0	1.0	10.0	8.0
CFB_GL000254.2_3287686_3294120	9.0	52.0	47.0	9.0	9.0	7.0
CFB_GL000255.2_3201625_3208059	9.0	49.0	43.0	9.0	9.0	7.0
CFB_GL000256.2_3246839_3253273	9.0	52.0	47.0	9.0	9.0	7.0
CFB_chr6_31945650_31952084	2.0	27.0	22.0	4.0	2.0	2.0
CFDP1	2005.0	5547.0	3998.0	2366.0	2312.0	2350.0
CFL1	13829.0	39310.0	27810.0	21807.0	21082.0	21531.0
CFL1P1_KQ090021.1_33750_61434	11.0	20.0	19.0	3.0	10.0	13.0
CFL1P1_chr10_87817928_87845612	5.0	6.0	7.0	3.0	3.0	3.0
CFL1P2	2.0	4.0	2.0	2.0	3.0	2.0
CFL1P3	1.0	0.0	0.0	0.0	0.0	2.0
CFL1P5_chr5_69313371_69313872	3.0	6.0	7.0	4.0	3.0	6.0
CFL2	4604.0	13373.0	10269.0	4834.0	4855.0	4868.0
CFLAR	272.0	1399.0	1102.0	1270.0	996.0	1111.0
CGAS	577.0	1744.0	1351.0	2429.0	2232.0	2426.0
CGGBP1	3032.0	9063.0	6672.0	4531.0	5030.0	4674.0
CGREF1	747.0	1907.0	1453.0	785.0	942.0	926.0
CGRRF1	419.0	1574.0	1251.0	865.0	908.0	697.0
CHAC1	2068.0	5452.0	3849.0	5204.0	3683.0	3447.0
CHAC2	199.0	577.0	430.0	292.0	318.0	410.0
CHAF1A	37.0	222.0	105.0	213.0	159.0	302.0
CHAF1B	470.0	409.0	926.0	1107.0	1082.0	1151.0
CHAMP1	671.0	1628.0	1270.0	911.0	860.0	821.0
CHCHD1	2683.0	3848.0	4160.0	4102.0	5902.0	5227.0
CHCHD10_KI270879.1_2196_4805	591.0	1597.0	1120.0	1561.0	1521.0	1545.0
CHCHD10_chr22_23765834_23767972	592.0	1577.0	1127.0	1568.0	1445.0	1451.0
CHCHD2	5756.0	15785.0	11714.0	10344.0	9961.0	10135.0
CHCHD2P2_GL339449.2_117043_117363	23.0	33.0	36.0	29.0	20.0	22.0
CHCHD2P2_chr5_69333929_69334249	23.0	33.0	36.0	29.0	21.0	22.0
CHCHD2P6	31.0	72.0	65.0	44.0	38.0	58.0
CHCHD2P9	63.0	142.0	103.0	117.0	81.0	99.0
CHCHD3	8790.0	26181.0	16337.0	13158.0	14970.0	12456.0
CHCHD3P3	21.0	53.0	36.0	20.0	15.0	21.0
CHCHD4	1160.0	2800.0	1839.0	2022.0	1753.0	1746.0
CHCHD5	55.0	62.0	31.0	19.0	95.0	71.0
CHCHD6	313.0	635.0	580.0	601.0	591.0	558.0
CHCHD7	439.0	1192.0	1033.0	512.0	457.0	460.0
CHD1	5070.0	12133.0	9483.0	6506.0	5465.0	6372.0
CHD1L	1030.0	1786.0	1578.0	693.0	959.0	395.0
CHD2	5180.0	13716.0	12378.0	6872.0	8058.0	5879.0
CHD3	5282.0	6855.0	10203.0	4484.0	3866.0	3781.0
CHD6	2176.0	4722.0	2358.0	2259.0	1784.0	942.0
CHD7	1400.0	2735.0	2682.0	2604.0	2231.0	2316.0
CHD8	3552.0	9311.0	6724.0	5283.0	4543.0	4027.0
CHD9	1832.0	2476.0	4206.0	1431.0	2063.0	1679.0
CHEK1	863.0	1662.0	1610.0	2075.0	1860.0	2277.0
CHEK2	600.0	716.0	901.0	753.0	612.0	683.0
CHERP	15.0	45.0	28.0	34.0	40.0	23.0
CHFR	662.0	3202.0	2110.0	2094.0	1488.0	1839.0
CHIC1	788.0	2028.0	2003.0	1893.0	1978.0	1918.0
CHIC2	594.0	1736.0	1367.0	1226.0	1144.0	1128.0
CHID1	3024.0	6814.0	4790.0	5582.0	4860.0	5003.0
CHKA	1679.0	5356.0	2884.0	2807.0	2830.0	2318.0
CHKB-CPT1B	228.0	886.0	683.0	818.0	449.0	512.0
CHKB-DT	10.0	9.0	0.0	27.0	2.0	0.0
CHM	2213.0	6713.0	4951.0	2458.0	2330.0	2390.0
CHMP1A	2740.0	8086.0	5330.0	4579.0	4177.0	4582.0
CHMP1B	2335.0	7364.0	6144.0	2163.0	2692.0	2435.0
CHMP2A	2956.0	10937.0	7073.0	5185.0	4397.0	5088.0
CHMP2B	4005.0	11173.0	9116.0	5182.0	5833.0	5692.0
CHMP3	3126.0	4625.0	3562.0	3911.0	3370.0	3739.0
CHMP4B	3286.0	10063.0	6851.0	6631.0	5810.0	5864.0
CHMP4BP1	11.0	61.0	48.0	33.0	38.0	30.0
CHMP5	2634.0	7727.0	5934.0	4161.0	4218.0	4486.0
CHMP6	698.0	1617.0	1273.0	1353.0	1124.0	1165.0
CHMP7	1421.0	4198.0	2930.0	2506.0	2435.0	2017.0
CHN1	477.0	1055.0	671.0	675.0	764.0	854.0
CHN2	3.0	11.0	5.0	8.0	40.0	11.0
CHORDC1P4	12.0	41.0	24.0	24.0	25.0	19.0
CHORDC1P5	1.0	2.0	0.0	2.0	2.0	0.0
CHORDC1_KZ559110.1_106552_129200	1434.0	3849.0	3140.0	2359.0	2490.0	2102.0
CHORDC1_chr11_90200429_90223077	1434.0	3849.0	3140.0	2359.0	2490.0	2102.0
CHP1	3966.0	11042.0	8065.0	4698.0	4345.0	4205.0
CHPF	2197.0	6429.0	4730.0	5091.0	4118.0	4420.0
CHPF2	2610.0	6636.0	5267.0	4706.0	4265.0	4067.0
CHPT1	2406.0	6627.0	5158.0	3181.0	3159.0	3577.0
CHRAC1	1704.0	4189.0	3379.0	2603.0	2842.0	2699.0
CHRM3	1448.0	3047.0	2589.0	2697.0	2534.0	2503.0
CHRNB1_KV575245.1_65518_78167	22.0	69.0	45.0	67.0	32.0	13.0
CHRNB1_chr17_7445061_7457710	22.0	69.0	45.0	67.0	32.0	13.0
CHROMR	22.0	197.0	321.0	224.0	330.0	262.0
CHST10	618.0	1620.0	1176.0	1010.0	804.0	869.0
CHST11	751.0	1876.0	1788.0	1269.0	1071.0	973.0
CHST12	377.0	268.0	193.0	455.0	442.0	770.0
CHST14	522.0	1410.0	1042.0	691.0	651.0	704.0
CHST2	531.0	1812.0	1226.0	1826.0	373.0	1557.0
CHST3	1119.0	2694.0	2191.0	2725.0	2326.0	2235.0
CHST7	293.0	869.0	678.0	851.0	643.0	633.0
